element,atomic_number,atomic_radii,electro_negativity,thermal_conductivity,density,phase
H,1,25,2.2,0.1805,0,
Li,3,151.94,0.98,84.8,0.53,BCC
Be,4,112.8,1.57,200,1.86,HCP
B,5,82,2.04,27.4,2.46,hr105
C,6,77.3,2.55,2300,2.27,HCP
N,7,75,3.04,0.0258,1.03,
O,8,73,3.44,0.0265,0.92,
Na,11,185.7,0.93,142,0.97,BCC
Mg,12,160.13,1.31,156,1.74,HCP
Al,13,143.17,1.61,237,2.7,FCC
Si,14,115.3,1.9,149,2.33,Cubic
P,15,106,2.19,12.1,1.82,oC8
S,16,102,2.58,0.205,2.06,oF128
K,19,231,0.82,102.5,0.85,BCC
Ca,20,197.6,1,201,1.53,FCC
Sc,21,164.1,1.36,15.8,3,HCP
Ti,22,146.15,1.54,21.9,4.5,HCP
V,23,131.6,1.63,30.7,6.12,BCC
Cr,24,124.91,1.66,93.9,7.19,BCC
Mn,25,135,1.55,7.81,7.47,cl58
Fe,26,124.12,1.83,80.4,7.88,BCC
Co,27,125.1,1.88,100,8.84,HCP
Ni,28,124.59,1.91,90.9,8.91,FCC
Cu,29,127.8,1.9,401,8.94,FCC
Zn,30,139.45,1.65,30.2,7.14,HCP
Ga,31,139.2,1.81,40.6,5.91,oC8
Ge,32,124,2.01,60.2,5.33,Cubic
As,33,115,2.18,50.2,5.79,hR2
Se,34,140,2.55,0.519,4.81,hP3
Rb,37,244,0.82,58.2,1.53,BCC
Sr,38,215.2,0.95,35.4,2.58,FCC
Y,39,180.15,1.22,17.2,4.47,HCP
Zr,40,160.25,1.33,22.6,6.51,HCP
Nb,41,142.9,1.6,53.7,8.58,BCC
Mo,42,136.26,2.16,138,10.23,BCC
Tc,43,136,1.9,50.6,11,
Ru,44,133.84,2.2,117,12.37,HCP
Rh,45,134.5,2.28,150,12.43,FCC
Pd,46,137.54,2.2,71.8,12.43,FCC
Ag,47,144.47,1.93,429,10.5,FCC
Cd,48,156.83,1.69,96.6,8.65,HCP
In,49,165.9,1.78,81.8,7.29,tl2
Sn,50,162,1.96,66.8,7.29,tl4
Sb,51,145,2.05,24.4,6.69,hR2
Te,52,145.2,2.1,2.67,6.24,hP3
Cs,55,265,0.79,35.9,1.87,BCC
Ba,56,217.6,0.89,18.4,3.6,BCC
La,57,187.9,1.1,13.4,6.2,HCP
Ce,58,182.47,1.12,11.3,6.77,HCP
Pr,59,165,1.13,12.5,6.77,HCP
Nd,60,164,1.14,16.5,7.01,HCP
Sm,62,181,1.17,13.3,7.53,hR3
Eu,63,198.44,1.2,13.9,5.25,BCC
Gd,64,180.13,1.2,10.6,7.9,HCP
Tb,65,178.14,1.1,11.1,8.23,HCP
Dy,66,177.4,1.22,10.7,8.55,HCP
Ho,67,176.61,1.23,16.2,8.8,HCP
Er,68,175.58,1.24,14.5,9.06,HCP
Tm,69,156,1.25,16.9,8.84,HCP
Yb,70,170,1.1,38.5,6.97,FCC
Lu,71,173.49,1.27,16.4,9.84,HCP
Hf,72,157.75,1.3,23,13.28,HCP
Ta,73,143,1.5,57.5,16.68,BCC
W,74,136.7,2.36,173,19.41,BCC
Re,75,137.5,1.9,48,21.02,HCP
Os,76,135.23,2.2,87.6,22.59,HCP
Ir,77,135.73,2.2,147,22.56,FCC
Pt,78,138.7,2.28,71.6,21.46,FCC
Au,79,144.2,2.54,318,19.29,FCC
Hg,80,150,2,8.3,14.24,hr105
Tl,81,171.6,1.62,46.1,11.87,HCP
Pb,82,174.97,2.33,35.3,11.35,FCC
Bi,83,160,2.02,7.97,9.81,hR2